name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,photo_url,profile,style_traits
Voltaire,literary,fr,18c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French Enlightenment writer; Candide, Zadig; architect of philosophical satire","caustic, crystalline, quicksilver, anti-dogmatic"
Jean-Jacques Rousseau,literary,fr,18c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"Genevan-French philosopher and autobiographer; Confessions, The Social Contract; theorist of sovereignty and the self","confessional, pastoral, insurgent, conscience-driven"
Denis Diderot,literary,fr,18c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French philosopher and novelist; Jacques the Fatalist, Rameau's Nephew; principal editor of the Encyclopédie","dialogic, restless, sensuous, intellectually carnivalesque"
Theophile Gautier,literary,fr,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French poet, novelist, and critic; Mademoiselle de Maupin, Captain Fracasse; advocate of art for art's sake","jeweled, pictorial, decadent, sculpturally precise"
Gerard de Nerval,literary,fr,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French Romantic writer; Aurélia, The Daughters of Fire; pioneer of dream-inflected prose","oneiric, haunted, elliptical, moonlit"
Pierre Loti,literary,fr,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French naval officer and novelist; Pêcheur d'Islande, Madame Chrysanthème; chronicler of travel and estrangement","salt-stained, exoticizing, elegiac, atmospheric"
Joris-Karl Huysmans,literary,fr,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French novelist and critic; Against Nature, Là-bas; bridge from naturalism to Decadence","claustrophobic, perfumed, erudite, spiritually feverish"
Octave Mirbeau,literary,fr,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French novelist, journalist, and playwright; The Torture Garden, Diary of a Chambermaid; anarchist social critic","savage, anticlerical, grotesque, vitriol-laced"
Francois-Rene de Chateaubriand,literary,fr,18c_19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French writer and diplomat; René, Memoirs from Beyond the Grave; foundational voice of French Romanticism","monumental, sepulchral, luxuriant, exile-haunted"
Alphonse de Lamartine,literary,fr,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French poet, historian, and statesman; Méditations poétiques, Graziella; major Romantic lyricist","melodic, devotional, lake-reflective, tenderly oratorical"
Paul Bourget,literary,fr,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French novelist and critic; The Disciple, Cruel Enigma; analyst of fin-de-siècle psychology","diagnostic, polished, morally intricate, salon-dark"
Pierre Corneille,literary,fr,17c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original French public-domain text,,"French tragedian; Le Cid, Horace; formative master of classical drama","heroic, antithetical, honor-bound, declamatory"
Friedrich Schiller,literary,de,18c_19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German playwright, poet, and historian; The Robbers, William Tell; central figure of Weimar Classicism","storm-charged, idealistic, liberty-struck, stage-thunderous"
Heinrich von Kleist,literary,de,18c_19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German dramatist and novella writer; Michael Kohlhaas, The Broken Jug; master of catastrophic ambiguity","compressed, volatile, juridical, vertiginous"
Gotthold Ephraim Lessing,literary,de,18c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German dramatist and critic; Nathan the Wise, Emilia Galotti; leading Enlightenment polemicist","lucid, disputatious, humane, dialectically poised"
Georg Buchner,literary,de,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German playwright and revolutionary; Danton's Death, Woyzeck; precursor of modernist drama","fractured, feverish, materialist, knife-edged"
Ludwig Tieck,literary,de,18c_19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German Romantic writer and translator; The Fair-Haired Eckbert, Puss in Boots; renovator of fairy-tale form","enchanted, ironic, forest-shadowed, playfully uncanny"
Gustav Freytag,literary,de,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German novelist and dramatist; Debit and Credit, The Journalists; theorist of dramatic structure","architectural, bourgeois, panoramic, plot-driven"
Wilhelm Raabe,literary,de,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German realist novelist; Stopfkuchen, The Hunger Pastor; chronicler of provincial modernity","digressive, sardonic, homely, labyrinthine"
Jeremias Gotthelf,literary,de,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"Swiss novelist and pastor; The Black Spider, Uli the Farm Servant; moral anatomist of rural life","earthbound, biblical, communal, dread-soaked"
Annette von Droste-Hulshoff,literary,de,19c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German poet and novella writer; The Jew's Beech, The Spiritual Year; exacting observer of landscape and conscience","mineral, watchful, austere, marsh-haunted"
Karl May,literary,de,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German adventure novelist; Winnetou, Old Surehand; creator of expansive frontier romances","propulsive, mythic, campfire-vivid, morally schematic"
Paul Heyse,literary,de,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German novelist, poet, and translator; L'Arrabbiata, Children of the World; Nobel laureate in literature","classical, sunlit, cosmopolitan, novella-tight"
Friedrich Spielhagen,literary,de,19c_20c,expansion_literary_non_en_2026_07,Project Gutenberg,work,3,original German public-domain text,,"German novelist and theorist; Problematic Characters, Hammer and Anvil; political realist of the bourgeois age","discursive, reformist, socially panoramic, earnest"
