name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,photo_url,profile,style_traits
Jane Austen,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist; Pride and Prejudice, Emma; precise social comedy","witty, observant, elegant, ironic"
Charles Dickens,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist and social critic; Oliver Twist, Great Expectations; Victorian social realism","expansive, theatrical, compassionate, satirical"
George Eliot,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist; Middlemarch, Silas Marner; psychological realism","analytical, humane, morally searching, panoramic"
Thomas Hardy,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist and poet; Tess of the d'Urbervilles, Jude the Obscure; tragic naturalism","melancholic, fatalistic, pastoral, stark"
Mark Twain,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,American novelist and humorist; Adventures of Huckleberry Finn; vernacular satire,"wry, colloquial, irreverent, humane"
Henry James,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American-British novelist; The Portrait of a Lady, The Ambassadors; master of psychological point of view","subtle, ceremonious, psychologically coiled, finely shaded"
Edith Wharton,literary,en,20c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American novelist and designer; The Age of Innocence, The House of Mirth; first woman to win the Pulitzer Prize for Fiction","coolly observant, socially surgical, polished, elegiac"
Herman Melville,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American novelist and poet; Moby-Dick, Bartleby; visionary chronicler of obsession and the sea","biblical, oceanic, digressive, metaphysically charged"
Nathaniel Hawthorne,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American novelist and short-story writer; The Scarlet Letter, Twice-Told Tales; explorer of Puritan guilt","allegorical, shadowed, morally ambivalent, antique"
Edgar Allan Poe,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English short fiction and essays,,"American poet, short-story writer, and critic; pioneering detective and gothic fiction","macabre, hypnotic, ornate, claustrophobic"
Washington Irving,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English sketches and essays,,"American essayist and short-story pioneer; Rip Van Winkle, The Legend of Sleepy Hollow","urbane, folkloric, gently comic, autumnal"
Louisa May Alcott,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American novelist and abolitionist; Little Women, Work; chronicler of women's independence and family life","warmhearted, brisk, domestic, quietly rebellious"
Kate Chopin,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American novelist and short-story writer; The Awakening, Bayou Folk; early voice of female autonomy","sensuous, compressed, unsentimental, awakening"
Willa Cather,literary,en,20c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American novelist; My Ántonia, O Pioneers!; chronicler of immigrant life on the Great Plains","spacious, luminous, earthbound, elegiac"
Jack London,literary,en,20c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American novelist and journalist; The Call of the Wild, Martin Eden; adventure naturalist","propulsive, elemental, hard-bitten, survivalist"
Stephen Crane,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"American novelist, poet, and war correspondent; The Red Badge of Courage, Maggie; early American naturalist","impressionistic, ironic, lean, battle-lit"
Charlotte Bronte,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,"English novelist and poet; Jane Eyre, Villette; Gothic innovator of female interiority","ardent, intimate, gothic, fiercely self-possessed"
Emily Bronte,literary,en,19c,seed_literary_en,Project Gutenberg,work,3,original English prose,,English novelist and poet; Wuthering Heights; singular visionary of passion and the moors,"tempestuous, elemental, haunted, savage-romantic"
