name,corpus,status,reason_not_ingested
Winston Churchill,rhetorical,candidate,"public speeches exist, but UK Crown/copyright and edition rights need review before ingestion"
Martin Luther King Jr.,rhetorical,candidate,speeches are strongly copyrighted by estate; do not ingest without license
Adolf Hitler,rhetorical,candidate,English speech translations and editions have unclear or copyrighted translator rights; do not ingest now
Pope Francis,rhetorical,candidate,Vatican/publication copyright terms need review; do not ingest now
Pope Benedict XVI,rhetorical,candidate,Vatican/publication copyright terms need review; do not ingest now
Pope John Paul II,rhetorical,candidate,Vatican/publication copyright terms need review; do not ingest now
Bill Gates,rhetorical,candidate,"public talks/interviews are usually copyrighted by venue, publisher, or Gates Notes; do not ingest now"
Elon Musk,rhetorical,candidate,interview/transcript sources are usually copyrighted; do not ingest now
Steve Jobs,rhetorical,candidate,Stanford commencement and Apple keynotes have unclear reuse rights; do not ingest now
Nelson Mandela,rhetorical,candidate,"public speeches exist, but reuse rights vary by source/edition; do not ingest now"
Margaret Thatcher,rhetorical,candidate,"foundation archive/public speeches exist, but reuse rights need review"
Tony Blair,rhetorical,candidate,"official/public speeches exist, but Crown/copyright status needs review"
Boris Johnson,rhetorical,candidate,"official speeches exist, but modern Crown/copyright status needs review"
Keir Starmer,rhetorical,candidate,"official speeches exist, but modern party/government rights need review"
Theresa May,rhetorical,candidate,"official speeches exist, but modern Crown/copyright status needs review"
David Cameron,rhetorical,candidate,"official speeches exist, but modern Crown/copyright status needs review"
Angela Merkel,rhetorical,candidate,English translations are likely copyrighted; original German is outside v1 English scope
Emmanuel Macron,rhetorical,candidate,English translations are likely copyrighted; original French is outside v1 English scope
Greta Thunberg,rhetorical,candidate,public speeches are modern copyrighted text; do not ingest without license
Malala Yousafzai,rhetorical,candidate,public speeches are modern copyrighted text; do not ingest without license
