name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,photo_url,profile,style_traits
Alessandro Manzoni,literary,it,19c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian novelist and poet; The Betrothed, Sacred Hymns; architect of modern historical fiction and national prose","providential, civic-minded, lucidly historical, morally panoramic"
Alfredo Panzini,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian novelist and lexicographer; La lanterna di Diogene, Il padrone sono me; ironic chronicler of technological modernity","wryly antiquarian, conversational, bicycle-paced, modernity-skeptical"
Algernon Blackwood,literary,en,20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English supernatural-fiction writer and broadcaster; The Willows, The Wendigo; pioneer of ecological and cosmic horror","numinous, forest-haunted, slow-creeping, cosmically porous"
Alice Brown,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American novelist and short-story writer; Meadow-Grass, Tiverton Tales; New England regional portraiture","hearthside, flinty, village-grained, quietly compassionate"
Ambrose Bierce,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American short-story writer and journalist; The Devil's Dictionary, An Occurrence at Owl Creek Bridge; master of war horror and black satire","acid-cut, fatalistic, battlefield-cold, sting-in-the-tail"
Anna Katharine Green,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"American detective novelist; The Leavenworth Case, The Filigree Ball; foundational architect of clue-driven mystery fiction","clue-latticed, decorous, procedural, parlor-tense"
Annie Vivanti,literary,it,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,Italian originals only,,"Italian-British novelist and poet; The Devourers, Marion; cosmopolitan explorer of women, art, and ambition","cosmopolitan, fever-bright, maternal, stage-lit"
Anthony Hope,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist and playwright; The Prisoner of Zenda, Rupert of Hentzau; defining voice of Ruritanian romance","sword-brisk, courtly, conspiratorial, velvet-cloaked"
Arnold Bennett,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"English novelist and journalist; The Old Wives' Tale, Clayhanger; panoramic realist of the industrial Five Towns","observant, time-weathered, provincial-cinematic, materially exact"
Arthur Machen,literary,en,19c_20c,gutenberg_indexed_2026_07,Project Gutenberg,work,3,original English prose,,"Welsh author and mystic; The Great God Pan, The Hill of Dreams; fin-de-siècle visionary of occult London","occult, labyrinthine, sacramental, dream-corroded"
